track_id,origin,first_seen_s,last_seen_s,interested,interested_at_s,outcome,outcome_at_s,peak_interest_score,frames_scored,frames_above_threshold,longest_run_above_s,max_depth_into_store_norm,evidence
1,store,0.0,4.2,0,,-,,0.0,0,0,0.0,0.0,
3,walkway,0.0,0.0,0,,-,,0.747,1,0,0.0,0.0,
4,walkway,0.3,2.0,0,,-,,1.324,16,3,0.1,0.0,
6,store,0.7,10.3,0,,-,,0.0,0,0,0.0,0.0,
10,store,7.9,8.1,0,,-,,0.0,0,0,0.0,0.0,
12,store,17.7,23.3,0,,-,,0.0,0,0,0.0,0.0,
14,store,23.4,23.7,0,,-,,0.0,0,0,0.0,0.0,
17,walkway,27.4,33.5,0,,-,,1.883,49,2,0.0,0.0,
23,store,31.0,35.0,0,,-,,0.0,0,0,0.0,0.0,
30,walkway,41.3,41.3,0,,-,,1.031,1,0,0.0,0.0,
32,walkway,42.0,42.1,0,,-,,0.868,2,0,0.0,0.0,
34,walkway,42.4,42.9,0,,-,,1.362,3,1,0.0,0.0,
40,store,47.5,241.0,0,,-,,0.0,0,0,0.0,0.0,
41,walkway,51.5,57.5,0,,-,,1.397,56,6,0.2,0.0,
42,walkway,57.1,57.2,0,,-,,0.983,2,0,0.0,0.0,
43,walkway,57.8,57.8,0,,-,,0.987,1,0,0.0,0.0,
44,store,58.5,64.3,0,,-,,0.0,0,0,0.0,0.0,
48,walkway,68.0,73.4,0,,-,,1.118,55,0,0.0,0.0,
49,store,69.4,238.7,0,,-,,0.0,0,0,0.0,0.0,
54,walkway,86.3,86.6,0,,-,,0.818,2,0,0.0,0.0,
58,walkway,88.5,93.8,0,,-,,1.285,50,10,0.1,0.0,
59,walkway,88.9,89.1,0,,-,,1.026,3,0,0.0,0.0,
63,walkway,97.8,102.3,0,,-,,1.726,35,4,0.2,0.0,
64,store,100.5,101.1,0,,-,,0.0,0,0,0.0,0.0,
66,walkway,110.0,111.9,0,,-,,0.986,17,0,0.0,0.0,
68,walkway,110.7,115.8,0,,-,,1.052,31,0,0.0,0.0,
