track_id,observations,observed_seconds,in_store_seconds,apron_dark_ratio,badge_detection_rate,badge_hits,badge_observations,mean_person_height_px,staff_score,score_at_decision,role
51,95,9.5,8.0,0.8676,0.2556,23,90,143.4,0.807,0.807,staff
159,4,0.4,0.4,0.9304,1.0,4,4,160.1,0.7783,0.7783,customer
166,28,3.1,3.1,0.8713,0.4286,12,28,170.5,0.7756,0.7756,customer
93,8,0.8,0.8,0.8666,1.0,8,8,172.5,0.7587,0.7587,customer
113,30,3.0,3.0,0.7975,0.4,12,30,148.4,0.7491,0.7491,customer
206,4,0.4,0.4,0.8333,0.75,3,4,149.8,0.7443,0.7443,customer
146,107,10.7,9.0,0.6454,0.3085,29,94,138.2,0.7359,0.7359,staff
105,9,0.9,0.0,0.8056,0.3333,3,9,115.6,0.732,0.732,customer
59,3,0.3,0.0,0.7421,0.3333,1,3,119.2,0.7097,0.7097,customer
71,52,6.2,0.0,0.6842,0.25,13,52,121.1,0.6895,0.6895,customer
251,3,0.3,0.0,0.6487,0.5,1,2,120.2,0.677,0.677,customer
142,350,36.2,36.2,0.5727,0.1509,32,212,129.0,0.6721,0.6721,staff
2,168,16.8,16.8,0.2708,0.6403,89,139,122.8,0.6568,0.6568,staff
201,39,4.2,0.0,0.5783,0.3939,13,33,124.1,0.6524,0.6524,customer
235,8,0.8,0.0,0.5779,0.4,2,5,111.1,0.6523,0.6523,customer
45,208,21.0,18.1,0.8191,0.1276,25,196,154.2,0.6369,0.6369,staff
194,18,2.0,0.0,0.5879,0.2222,4,18,130.3,0.6058,0.6058,customer
222,20,2.0,2.0,0.8254,0.1579,3,19,149.0,0.5864,0.5864,customer
254,14,1.6,0.0,0.8816,0.1429,2,14,129.6,0.5657,0.5657,customer
250,13,1.5,0.0,0.8229,0.1538,2,13,124.0,0.5649,0.5649,customer
100,1878,189.1,187.3,0.5023,0.1015,190,1871,155.8,0.5586,0.5586,customer
253,26,2.8,2.8,0.9319,0.1154,3,26,150.3,0.5525,0.5525,customer
40,1742,179.8,179.8,0.2441,0.1344,224,1667,158.1,0.5273,0.5273,customer
188,1258,127.6,127.6,0.429,0.0911,97,1065,128.2,0.5141,0.5141,customer
169,32,4.2,0.0,0.6321,0.1562,5,32,131.9,0.5025,0.5025,customer
236,26,4.5,0.0,0.6133,0.15,3,20,120.9,0.4846,0.4846,customer
63,28,3.5,0.0,0.8647,0.1,2,20,119.9,0.4827,0.4827,customer
241,34,3.5,0.0,0.7537,0.1176,4,34,124.8,0.4756,0.4756,customer
49,1579,160.0,140.8,0.7103,0.0074,9,1221,164.9,0.4619,0.4619,customer
213,80,8.1,8.1,0.7613,0.075,6,80,163.1,0.4554,0.4554,customer
202,1149,115.1,110.7,0.311,0.0586,56,956,140.3,0.4143,0.4143,customer
151,12,2.8,0.0,0.4398,0.1429,1,7,112.4,0.4111,0.4111,customer
139,426,47.8,47.8,0.2074,0.0615,15,244,115.2,0.3833,0.3833,customer
126,116,12.5,0.0,0.9023,0.037,4,108,135.5,0.3825,0.3825,customer
6,82,8.2,8.2,0.8033,0.0233,1,43,135.7,0.3777,0.3777,customer
172,49,5.3,0.0,0.7106,0.0625,3,48,132.9,0.3612,0.3612,customer
41,53,5.6,0.0,0.6432,0.0714,3,42,130.7,0.3537,0.3537,customer
248,1,0.1,0.0,0.9339,0.0,0,1,122.9,0.3269,0.3269,customer
68,18,3.1,0.0,0.5258,0.0769,1,13,125.1,0.3225,0.3225,customer
182,192,20.9,20.9,0.3832,0.0261,3,115,130.3,0.3204,0.3204,customer
96,2620,263.1,260.2,0.2649,0.0102,24,2352,131.6,0.3111,0.3111,customer
23,27,2.7,1.6,0.5993,0.0455,1,22,119.6,0.3022,0.3022,customer
158,151,16.9,16.9,0.5037,0.0,0,1,88.7,0.289,0.289,customer
246,59,6.1,0.0,0.7038,0.0189,1,53,123.2,0.2803,0.2803,customer
228,128,13.5,13.5,0.2932,0.0413,5,121,199.5,0.267,0.267,customer
104,1,0.1,0.0,0.6953,0.0,0,1,112.0,0.2434,0.2434,customer
101,20,2.1,2.1,0.6331,0.0,0,0,66.7,0.2356,0.2356,customer
106,3,0.3,0.0,0.6686,0.0,0,3,117.1,0.234,0.234,customer
125,10,1.3,1.3,0.6428,0.0,0,0,59.0,0.2337,0.2337,customer
154,1,0.1,0.1,0.6579,0.0,0,0,62.8,0.2309,0.2309,customer
48,38,5.5,0.0,0.3537,0.0588,2,34,118.8,0.2297,0.2297,customer
181,87,8.9,8.9,0.4642,0.0,0,0,61.1,0.2218,0.2218,customer
205,21,2.5,2.5,0.5748,0.0,0,0,65.4,0.2178,0.2178,customer
1,43,4.3,4.3,0.5261,0.0,0,40,187.2,0.2128,0.2128,customer
72,43,4.6,0.0,0.5913,0.0,0,31,121.3,0.2069,0.2069,customer
64,6,0.6,0.6,0.5793,0.0,0,0,93.0,0.2067,0.2067,customer
90,1,0.1,0.1,0.5718,0.0,0,0,90.6,0.2008,0.2008,customer
69,13,1.3,1.3,0.5429,0.0,0,0,94.1,0.1987,0.1987,customer
152,2,0.2,0.2,0.5226,0.0,0,0,57.2,0.1843,0.1843,customer
79,7,0.7,0.7,0.4888,0.0,0,0,92.9,0.1757,0.1757,customer
229,2,0.2,0.2,0.4971,0.0,0,2,184.2,0.1753,0.1753,customer
200,30,3.1,3.1,0.4329,0.0,0,24,174.4,0.1722,0.1722,customer
224,12,1.5,0.0,0.3903,0.0,0,6,108.5,0.1366,0.1366,customer
191,2,0.2,0.0,0.3836,0.0,0,2,127.3,0.1343,0.1343,customer
34,2,0.3,0.0,0.3677,0.0,0,2,118.3,0.1287,0.1287,customer
81,1,0.1,0.0,0.328,0.0,0,1,112.9,0.1148,0.1148,customer
83,3,0.4,0.0,0.2943,0.0,0,3,111.7,0.103,0.103,customer
98,31,3.4,3.4,0.2253,0.0,0,0,86.5,0.1015,0.1015,customer
215,51,5.3,0.0,0.286,0.0,0,45,124.5,0.1001,0.1001,customer
10,3,0.3,0.3,0.2602,0.0,0,0,58.4,0.0931,0.0931,customer
88,42,4.6,4.6,0.1603,0.0,0,8,89.9,0.0868,0.0868,customer
255,11,1.1,1.1,0.2086,0.0,0,9,134.0,0.0804,0.0804,customer
70,28,4.1,0.0,0.224,0.0,0,28,123.0,0.0784,0.0784,customer
30,1,0.1,0.0,0.2105,0.0,0,1,121.3,0.0737,0.0737,customer
14,4,0.4,0.4,0.1974,0.0,0,4,125.0,0.0718,0.0718,customer
66,17,1.7,0.0,0.1799,0.0,0,15,114.5,0.063,0.063,customer
12,57,5.7,2.4,0.1271,0.0,0,48,160.1,0.0605,0.0605,customer
58,43,5.0,0.0,0.1696,0.0,0,36,125.4,0.0594,0.0594,customer
138,52,5.3,5.3,0.0584,0.0,0,31,113.4,0.0558,0.0558,customer
163,19,2.5,0.0,0.1566,0.0,0,17,122.8,0.0548,0.0548,customer
195,51,5.1,3.3,0.0774,0.0,0,49,179.4,0.0491,0.0491,customer
4,16,1.6,0.0,0.0994,0.0,0,10,109.0,0.0348,0.0348,customer
17,31,5.0,0.0,0.0849,0.0,0,24,111.5,0.0297,0.0297,customer
210,367,38.1,0.0,0.0824,0.0,0,356,132.8,0.0288,0.0288,customer
3,1,0.1,0.0,0.0661,0.0,0,0,90.0,0.0231,0.0231,customer
44,10,1.0,1.0,0.0234,0.0,0,10,337.1,0.0149,0.0149,customer
42,2,0.2,0.0,0.0413,0.0,0,0,98.0,0.0144,0.0144,customer
199,28,2.8,0.0,0.0304,0.0,0,28,126.6,0.0106,0.0106,customer
109,13,1.6,0.0,0.0203,0.0,0,9,112.2,0.0071,0.0071,customer
54,1,0.2,0.0,0.0167,0.0,0,1,116.5,0.0058,0.0058,customer
43,1,0.1,0.0,0.015,0.0,0,1,111.6,0.0052,0.0052,customer
32,0,0.2,0.0,0.0,0.0,0,0,120.8,0.0,0.0,customer
243,0,0.1,0.0,0.0,0.0,0,0,114.4,0.0,0.0,customer
